0,"[30.2359091167, 30.269102953]","[-97.7951395833, -97.7493953705]"
1,"[48.86337875, 48.86337875]","[2.333328717, 2.333328717]"
2,"[34.0430230998, 34.0430230998]","[-118.2671570778, -118.2671570778]"
4,"[37.7826046833, 37.7826046833]","[-122.4076080167, -122.4076080167]"
5,"[40.761176868, 40.761176868]","[-73.9868709323, -73.9868709323]"
7,"[30.2691029532, 30.2691029532]","[-97.7493953705, -97.7493953705]"
8,"[37.7794153515, 37.7794153515]","[-122.4235334158, -122.4235334158]"
9,"[38.91192406, 38.91192406]","[-94.76637089, -94.76637089]"
10,"[38.8964285833, 38.8964285833]","[-94.7545258833, -94.7545258833]"
11,"[26.2846677833, 26.2846677833]","[-80.2096455333, -80.2096455333]"
12,"[-25.43722915, -25.43722915]","[-49.26710212, -49.26710212]"
13,"[49.2781386833, 49.2781386833]","[-123.1283846, -123.1283846]"
14,"[42.34701377, 42.34701377]","[-71.08740937, -71.08740937]"
15,"[40.758804975, 40.758804975]","[-73.985171702, -73.985171702]"
16,"[39.7369440195, 39.7369440195]","[-104.9886896508, -104.9886896508]"
17,"[35.1183772057, 35.1183772057]","[-89.9449235201, -89.9449235201]"
18,"[33.1376251269, 33.1376251269]","[-117.1891341384, -117.1891341384]"
19,"[30.322706652, 30.322706652]","[-97.739594896, -97.739594896]"
20,"[32.80027627, 32.80027627]","[-96.63408684, -96.63408684]"
21,"[33.8097343862, 33.8097343862]","[-117.9226773757, -117.9226773757]"
22,"[40.7558762816, 40.7558762816]","[-73.9823949337, -73.9823949337]"
23,"[42.032112085, 42.032112085]","[-76.017253515, -76.017253515]"
24,"[37.3316787, 37.3316787]","[-121.9959445333, -121.9959445333]"
25,"[37.7486019785, 37.7486019785]","[-122.3866948485, -122.3866948485]"
26,"[36.97401648, 36.97401648]","[-122.02598977, -122.02598977]"
27,"[30.2811204101, 30.2811204101]","[-97.7452111244, -97.7452111244]"
28,"[38.8847456167, 38.8847456167]","[-94.6432036167, -94.6432036167]"
